Date,Region/City,Region/City-Eng,Region_ID,Day-Confirmed,Day-Deaths,Day-Recovered,Confirmed,Deaths,Recovered
2020-01-26,Diamond Princess,Diamond Princess,,3.0,0.0,0.0,3.0,0.0,0.0
2020-01-31,Тюменская область,Tyumen region,72.0,1.0,0.0,0.0,1.0,0.0,0.0
2020-01-31,Забайкальский край,Zabaykalsky Krai,75.0,1.0,0.0,0.0,1.0,0.0,0.0
2020-02-12,Тюменская область,Tyumen region,72.0,0.0,0.0,1.0,1.0,0.0,1.0
2020-02-12,Забайкальский край,Zabaykalsky Krai,75.0,0.0,0.0,1.0,1.0,0.0,1.0
2020-02-03,Московская область,Moscow region,50.0,1.0,0.0,0.0,1.0,0.0,0.0
2020-03-05,Санкт-Петербург,St. Petersburg,78.0,1.0,0.0,0.0,1.0,0.0,0.0
2020-03-06,Москва,Moscow,77.0,5.0,0.0,0.0,5.0,0.0,0.0
2020-03-06,Нижегородская область,Nizhny Novgorod Region,52.0,1.0,0.0,0.0,1.0,0.0,0.0
2020-03-06,Diamond Princess,Diamond Princess,,0.0,0.0,3.0,3.0,0.0,3.0
2020-03-07,Москва,Moscow,77.0,0.0,0.0,1.0,5.0,0.0,1.0
2020-03-07,Санкт-Петербург,St. Petersburg,78.0,1.0,0.0,0.0,2.0,0.0,0.0
2020-03-07,Липецкая область,Lipetsk region,48.0,3.0,0.0,0.0,3.0,0.0,0.0
2020-03-08,Московская область,Moscow region,50.0,1.0,0.0,0.0,2.0,0.0,0.0
2020-03-08,Белгородская область,Belgorod region,31.0,1.0,0.0,0.0,1.0,0.0,0.0
2020-03-08,Калининградская область,Kaliningrad region,39.0,1.0,0.0,0.0,1.0,0.0,0.0
2020-03-09,Москва,Moscow,77.0,3.0,0.0,0.0,8.0,0.0,1.0
2020-03-11,Москва,Moscow,77.0,6.0,0.0,0.0,14.0,0.0,1.0
2020-03-11,Московская область,Moscow region,50.0,2.0,0.0,0.0,4.0,0.0,0.0
2020-03-12,Москва,Moscow,77.0,4.0,0.0,0.0,18.0,0.0,1.0
2020-03-12,Калининградская область,Kaliningrad region,39.0,1.0,0.0,0.0,2.0,0.0,0.0
2020-03-12,Краснодарский край,Krasnodar region,23.0,1.0,0.0,0.0,1.0,0.0,0.0
2020-03-13,Москва,Moscow,77.0,5.0,0.0,0.0,23.0,0.0,1.0
2020-03-13,Московская область,Moscow region,50.0,1.0,0.0,0.0,5.0,0.0,0.0
2020-03-13,Санкт-Петербург,St. Petersburg,78.0,3.0,0.0,0.0,5.0,0.0,0.0
2020-03-13,Ленинградская область,Leningrad region,47.0,1.0,0.0,0.0,1.0,0.0,0.0
2020-03-13,Пермский край,Perm,59.0,1.0,0.0,0.0,1.0,0.0,0.0
2020-03-14,Москва,Moscow,77.0,9.0,0.0,0.0,32.0,0.0,1.0
2020-03-14,Московская область,Moscow region,50.0,1.0,0.0,0.0,6.0,0.0,0.0
2020-03-14,Санкт-Петербург,St. Petersburg,78.0,1.0,0.0,0.0,6.0,0.0,0.0
2020-03-14,Кемеровская область,Kemerovo region,42.0,2.0,0.0,0.0,2.0,0.0,0.0
2020-03-14,Калининградская область,Kaliningrad region,39.0,1.0,0.0,0.0,3.0,0.0,0.0
2020-03-15,Московская область,Moscow region,50.0,3.0,0.0,0.0,9.0,0.0,0.0
2020-03-15,Тюменская область,Tyumen region,72.0,1.0,0.0,0.0,2.0,0.0,1.0
2020-03-16,Москва,Moscow,77.0,20.0,0.0,0.0,52.0,0.0,1.0
2020-03-16,Санкт-Петербург,St. Petersburg,78.0,3.0,0.0,2.0,9.0,0.0,2.0
