Month,Year,Deaths
1,2010,10430
2,2010,9573
3,2010,10528
4,2010,9501
5,2010,9482
6,2010,9529
7,2010,14340
8,2010,15016
9,2010,9573
10,2010,9350
11,2010,9091
12,2010,9664
1,2011,10113
2,2011,9011
3,2011,9878
4,2011,9274
5,2011,9211
6,2011,8608
7,2011,8906
8,2011,9279
9,2011,9117
10,2011,9614
11,2011,9465
12,2011,9435
1,2012,10156
2,2012,9786
3,2012,10100
4,2012,9480
5,2012,9459
6,2012,8963
7,2012,9193
8,2012,9184
9,2012,9233
10,2012,10493
11,2012,9577
12,2012,10576
1,2013,11184
2,2013,9396
3,2013,10084
4,2013,9894
5,2013,9724
6,2013,8520
7,2013,9384
8,2013,9261
9,2013,9210
10,2013,10143
11,2013,9434
12,2013,9967
1,2014,10311
2,2014,9235
3,2014,10256
4,2014,9884
5,2014,10219
6,2014,8924
7,2014,9547
8,2014,9054
9,2014,9821
10,2014,10315
11,2014,9042
12,2014,10783
1,2015,11042
2,2015,10146
3,2015,10886
4,2015,10271
5,2015,9742
6,2015,9649
7,2015,9629
8,2015,9483
9,2015,9821
10,2015,10559
11,2015,9973
12,2015,10816
1,2016,11673
2,2016,10320
3,2016,10262
4,2016,9923
5,2016,10099
6,2016,9720
7,2016,9373
8,2016,10042
9,2016,9841
10,2016,10346
11,2016,10194
12,2016,12086
1,2017,11858
2,2017,9405
3,2017,10193
4,2017,9569
5,2017,9966
6,2017,9314
7,2017,9669
8,2017,9634
9,2017,9420
10,2017,10490
11,2017,9644
12,2017,10121
1,2018,10733
2,2018,9992
3,2018,11752
4,2018,10861
5,2018,9862
6,2018,9780
7,2018,9487
8,2018,9661
9,2018,9251
10,2018,10637
11,2018,9884
12,2018,10497
1,2019,11485
2,2019,9793
3,2019,10060
4,2019,10005
5,2019,10007
6,2019,9268
7,2019,10096
8,2019,9601
9,2019,9712
10,2019,10462
11,2019,9732
12,2019,10562
1,2020,10918
2,2020,9873
3,2020,10250
4,2020,11846
